Orthogroup	ARSEF_1520	ARSEF_1564	ARSEF_2597	ARSEF_2860	ARSEF_3097	ARSEF_4305	ARSEF_5078	ARSEF_8028
OG0000874	FUN_000653-T1	FUN_003800-T1	FUN_000541-T1	FUN_000921-T1	FUN_003084-T1	FUN_000482-T1	FUN_000280-T1	FUN_003933-T1
OG0000875	FUN_000654-T1	FUN_003799-T1	FUN_000540-T1	FUN_000922-T1	FUN_003085-T1	FUN_000481-T1	FUN_000281-T1	FUN_003932-T1
OG0000876	FUN_000655-T1	FUN_003798-T1	FUN_000539-T1	FUN_000923-T1	FUN_003086-T1	FUN_000480-T1	FUN_000282-T1	FUN_003931-T1
OG0000877	FUN_000656-T1	FUN_003797-T1	FUN_000538-T1	FUN_000924-T1	FUN_003087-T1	FUN_000479-T1	FUN_000283-T1	FUN_003930-T1
OG0000878	FUN_000657-T1	FUN_003796-T1	FUN_000537-T1	FUN_000925-T1	FUN_003088-T1	FUN_000478-T1	FUN_000284-T1	FUN_003929-T1
OG0000879	FUN_000659-T1	FUN_003794-T1	FUN_000535-T1	FUN_000927-T1	FUN_003090-T1	FUN_000476-T1	FUN_000286-T1	FUN_003928-T1
OG0000880	FUN_000660-T1	FUN_003793-T1	FUN_000534-T1	FUN_000929-T1	FUN_003091-T1	FUN_000475-T1	FUN_000287-T1	FUN_003927-T1
OG0000881	FUN_000661-T1	FUN_003792-T1	FUN_000533-T1	FUN_000930-T1	FUN_003092-T1	FUN_000474-T1	FUN_000288-T1	FUN_003926-T1
OG0000882	FUN_000663-T1	FUN_003790-T1	FUN_000531-T1	FUN_000932-T1	FUN_003094-T1	FUN_000472-T1	FUN_000289-T1	FUN_003924-T1
OG0000883	FUN_000664-T1	FUN_003789-T1	FUN_000530-T1	FUN_000933-T1	FUN_005624-T1	FUN_000471-T1	FUN_000290-T1	FUN_003923-T1
OG0000884	FUN_000665-T1	FUN_003788-T1	FUN_000529-T1	FUN_000934-T1	FUN_005625-T1	FUN_000470-T1	FUN_000291-T1	FUN_003922-T1
OG0000885	FUN_000666-T1	FUN_003787-T1	FUN_000528-T1	FUN_000935-T1	FUN_005626-T1	FUN_000469-T1	FUN_000292-T1	FUN_003921-T1
OG0000886	FUN_000668-T1	FUN_003785-T1	FUN_000526-T1	FUN_000937-T1	FUN_005628-T1	FUN_000467-T1	FUN_000294-T1	FUN_003919-T1
OG0000887	FUN_000669-T1	FUN_003784-T1	FUN_000525-T1	FUN_000938-T1	FUN_005629-T1	FUN_000466-T1	FUN_000295-T1	FUN_003918-T1
OG0000888	FUN_000670-T1	FUN_003783-T1	FUN_000524-T1	FUN_000939-T1	FUN_005630-T1	FUN_000465-T1	FUN_000296-T1	FUN_003917-T1
OG0000889	FUN_000671-T1	FUN_003782-T1	FUN_000523-T1	FUN_000940-T1	FUN_005631-T1	FUN_000464-T1	FUN_000297-T1	FUN_003916-T1
OG0000890	FUN_000672-T1	FUN_003781-T1	FUN_000522-T1	FUN_000941-T1	FUN_004221-T1	FUN_000463-T1	FUN_005489-T1	FUN_003915-T1
OG0000891	FUN_000674-T1	FUN_003780-T1	FUN_000520-T1	FUN_000943-T1	FUN_004219-T1	FUN_000461-T1	FUN_005487-T1	FUN_003913-T1
OG0000892	FUN_000675-T1	FUN_003779-T1	FUN_000519-T1	FUN_000944-T1	FUN_004218-T1	FUN_000460-T1	FUN_005486-T1	FUN_003912-T1
OG0000893	FUN_000676-T1	FUN_003778-T1	FUN_000518-T1	FUN_000945-T1	FUN_004217-T1	FUN_000459-T1	FUN_005485-T1	FUN_003911-T1
OG0000894	FUN_000677-T1	FUN_003777-T1	FUN_000517-T1	FUN_000946-T1	FUN_004216-T1	FUN_000458-T1	FUN_005484-T1	FUN_003910-T1
OG0000895	FUN_000678-T1	FUN_003776-T1	FUN_000516-T1	FUN_000947-T1	FUN_004215-T1	FUN_000457-T1	FUN_005483-T1	FUN_003909-T1
OG0000896	FUN_000679-T1	FUN_003775-T1	FUN_000515-T1	FUN_000948-T1	FUN_004214-T1	FUN_000456-T1	FUN_005482-T1	FUN_003908-T1
OG0000897	FUN_000680-T1	FUN_003774-T1	FUN_000514-T1	FUN_000949-T1	FUN_004213-T1	FUN_000455-T1	FUN_005481-T1	FUN_003907-T1
OG0000898	FUN_000681-T1	FUN_003773-T1	FUN_000513-T1	FUN_000950-T1	FUN_004212-T1	FUN_008484-T1	FUN_006504-T1	FUN_003906-T1
OG0000899	FUN_000682-T1	FUN_003772-T1	FUN_000512-T1	FUN_000951-T1	FUN_004211-T1	FUN_008485-T1	FUN_006505-T1	FUN_003905-T1
OG0000900	FUN_000683-T1	FUN_003771-T1	FUN_000511-T1	FUN_000952-T1	FUN_008433-T1	FUN_008486-T1	FUN_006506-T1	FUN_003904-T1
OG0000901	FUN_000684-T1	FUN_003770-T1	FUN_000510-T1	FUN_000953-T1	FUN_008432-T1	FUN_008487-T1	FUN_006507-T1	FUN_003903-T1
OG0000902	FUN_000685-T1	FUN_008066-T1	FUN_000509-T1	FUN_000954-T1	FUN_006704-T1	FUN_009461-T1	FUN_008849-T1	FUN_003902-T1
OG0000903	FUN_000686-T1	FUN_008067-T1	FUN_000508-T1	FUN_000955-T1	FUN_006705-T1	FUN_009462-T1	FUN_008850-T1	FUN_003901-T1
OG0000904	FUN_000688-T1	FUN_008069-T1	FUN_000505-T1	FUN_000958-T1	FUN_006707-T1	FUN_008199-T1	FUN_004419-T1	FUN_003898-T1
OG0000905	FUN_000689-T1	FUN_008070-T1	FUN_000504-T1	FUN_000959-T1	FUN_006708-T1	FUN_008200-T1	FUN_004420-T1	FUN_003897-T1
OG0000906	FUN_000690-T1	FUN_008071-T1	FUN_000503-T1	FUN_000960-T1	FUN_006709-T1	FUN_008201-T1	FUN_004421-T1	FUN_003896-T1
OG0000907	FUN_000691-T1	FUN_008072-T1	FUN_000502-T1	FUN_000961-T1	FUN_006710-T1	FUN_008202-T1	FUN_004422-T1	FUN_003895-T1
OG0000908	FUN_000692-T1	FUN_008073-T1	FUN_000501-T1	FUN_000962-T1	FUN_006711-T1	FUN_008203-T1	FUN_004423-T1	FUN_003894-T1
OG0000909	FUN_000693-T1	FUN_008074-T1	FUN_000500-T1	FUN_000963-T1	FUN_008524-T1	FUN_008204-T1	FUN_004424-T1	FUN_003893-T1
OG0000910	FUN_000694-T1	FUN_008075-T1	FUN_000499-T1	FUN_000964-T1	FUN_008523-T1	FUN_008205-T1	FUN_004425-T1	FUN_003892-T1
OG0000911	FUN_000695-T1	FUN_008076-T1	FUN_000498-T1	FUN_000965-T1	FUN_008522-T1	FUN_008206-T1	FUN_004426-T1	FUN_003891-T1
OG0000912	FUN_000696-T1	FUN_000994-T1	FUN_000497-T1	FUN_000966-T1	FUN_001614-T1	FUN_008558-T1	FUN_004427-T1	FUN_003890-T1
OG0000913	FUN_000697-T1	FUN_000993-T1	FUN_000496-T1	FUN_000967-T1	FUN_001613-T1	FUN_008557-T1	FUN_004428-T1	FUN_003889-T1
OG0000914	FUN_000698-T1	FUN_000992-T1	FUN_000495-T1	FUN_000968-T1	FUN_001612-T1	FUN_008556-T1	FUN_006994-T1	FUN_003888-T1
OG0000915	FUN_000700-T1	FUN_000990-T1	FUN_000493-T1	FUN_000970-T1	FUN_001610-T1	FUN_009056-T1	FUN_006992-T1	FUN_003886-T1
OG0000916	FUN_000701-T1	FUN_000989-T1	FUN_000492-T1	FUN_000971-T1	FUN_001609-T1	FUN_009055-T1	FUN_006991-T1	FUN_003885-T1
OG0000917	FUN_000702-T1	FUN_000988-T1	FUN_000491-T1	FUN_000972-T1	FUN_001608-T1	FUN_009054-T1	FUN_006990-T1	FUN_003884-T1
OG0000918	FUN_000703-T1	FUN_000987-T1	FUN_000490-T1	FUN_000973-T1	FUN_001607-T1	FUN_009053-T1	FUN_008089-T1	FUN_003883-T1
OG0000919	FUN_000704-T1	FUN_000986-T1	FUN_000489-T1	FUN_000974-T1	FUN_001606-T1	FUN_009052-T1	FUN_008090-T1	FUN_003882-T1
OG0000920	FUN_000706-T1	FUN_000983-T1	FUN_000486-T1	FUN_000977-T1	FUN_001603-T1	FUN_000835-T1	FUN_003109-T1	FUN_003879-T1
OG0000921	FUN_000707-T1	FUN_000982-T1	FUN_000485-T1	FUN_000978-T1	FUN_001602-T1	FUN_000836-T1	FUN_003110-T1	FUN_003878-T1
OG0000922	FUN_000708-T1	FUN_000981-T1	FUN_000484-T1	FUN_000979-T1	FUN_001601-T1	FUN_000837-T1	FUN_003111-T1	FUN_003877-T1
OG0000923	FUN_000709-T1	FUN_000980-T1	FUN_000483-T1	FUN_000980-T1	FUN_001600-T1	FUN_000838-T1	FUN_003112-T1	FUN_003876-T1
OG0000924	FUN_000710-T1	FUN_000979-T1	FUN_000482-T1	FUN_000981-T1	FUN_001599-T1	FUN_000839-T1	FUN_003113-T1	FUN_003875-T1
OG0000925	FUN_000711-T1	FUN_000978-T1	FUN_000481-T1	FUN_000982-T1	FUN_001598-T1	FUN_000840-T1	FUN_003114-T1	FUN_003874-T1
OG0000926	FUN_000712-T1	FUN_000977-T1	FUN_000480-T1	FUN_000983-T1	FUN_001597-T1	FUN_000841-T1	FUN_003115-T1	FUN_003873-T1
OG0000927	FUN_000713-T1	FUN_000976-T1	FUN_000479-T1	FUN_000984-T1	FUN_001596-T1	FUN_000842-T1	FUN_003116-T1	FUN_003872-T1
OG0000928	FUN_000714-T1	FUN_000975-T1	FUN_000478-T1	FUN_000985-T1	FUN_001595-T1	FUN_000843-T1	FUN_003117-T1	FUN_003871-T1
OG0000929	FUN_000715-T1	FUN_000974-T1	FUN_000477-T1	FUN_000986-T1	FUN_001594-T1	FUN_000844-T1	FUN_003118-T1	FUN_003870-T1
OG0000930	FUN_000716-T1	FUN_000973-T1	FUN_000476-T1	FUN_000987-T1	FUN_005507-T1	FUN_000845-T1	FUN_003119-T1	FUN_003869-T1
OG0000931	FUN_000717-T1	FUN_000972-T1	FUN_000475-T1	FUN_000988-T1	FUN_005508-T1	FUN_000846-T1	FUN_003120-T1	FUN_003868-T1
OG0000932	FUN_000718-T1	FUN_000971-T1	FUN_000474-T1	FUN_000989-T1	FUN_005509-T1	FUN_000847-T1	FUN_003121-T1	FUN_003867-T1
OG0000933	FUN_000721-T1	FUN_000969-T1	FUN_000471-T1	FUN_000991-T1	FUN_005511-T1	FUN_000850-T1	FUN_007860-T1	FUN_003865-T1
OG0000934	FUN_000722-T1	FUN_000968-T1	FUN_000470-T1	FUN_000992-T1	FUN_005512-T1	FUN_000851-T1	FUN_007861-T1	FUN_003864-T1
OG0000935	FUN_000723-T1	FUN_000967-T1	FUN_000469-T1	FUN_000993-T1	FUN_005513-T1	FUN_000852-T1	FUN_007862-T1	FUN_003863-T1
OG0000936	FUN_000724-T1	FUN_000966-T1	FUN_000468-T1	FUN_000994-T1	FUN_005514-T1	FUN_000853-T1	FUN_004325-T1	FUN_003862-T1
OG0000937	FUN_000726-T1	FUN_000964-T1	FUN_000466-T1	FUN_000996-T1	FUN_004295-T1	FUN_000855-T1	FUN_004324-T1	FUN_003860-T1
OG0000938	FUN_000727-T1	FUN_000963-T1	FUN_000465-T1	FUN_000997-T1	FUN_004294-T1	FUN_000856-T1	FUN_004323-T1	FUN_003859-T1
OG0000939	FUN_000728-T1	FUN_000962-T1	FUN_000464-T1	FUN_000998-T1	FUN_004293-T1	FUN_000858-T1	FUN_004322-T1	FUN_003858-T1
OG0000940	FUN_000729-T1	FUN_000961-T1	FUN_000463-T1	FUN_000999-T1	FUN_004292-T1	FUN_000859-T1	FUN_004321-T1	FUN_003857-T1
OG0000941	FUN_000730-T1	FUN_000960-T1	FUN_000462-T1	FUN_001000-T1	FUN_004291-T1	FUN_000860-T1	FUN_004320-T1	FUN_003856-T1
OG0000942	FUN_000732-T1	FUN_000959-T1	FUN_000460-T1	FUN_001002-T1	FUN_004289-T1	FUN_000862-T1	FUN_004318-T1	FUN_003854-T1
OG0000943	FUN_000733-T1	FUN_000958-T1	FUN_000459-T1	FUN_001003-T1	FUN_004288-T1	FUN_000863-T1	FUN_004317-T1	FUN_003853-T1
OG0000944	FUN_000734-T1	FUN_000957-T1	FUN_000458-T1	FUN_001004-T1	FUN_004287-T1	FUN_000864-T1	FUN_004316-T1	FUN_003852-T1
OG0000945	FUN_000735-T1	FUN_000956-T1	FUN_000457-T1	FUN_001005-T1	FUN_004286-T1	FUN_000865-T1	FUN_004315-T1	FUN_003851-T1
OG0000946	FUN_000736-T1	FUN_000955-T1	FUN_000456-T1	FUN_001006-T1	FUN_004285-T1	FUN_000866-T1	FUN_004314-T1	FUN_003850-T1
OG0000947	FUN_000737-T1	FUN_000954-T1	FUN_000455-T1	FUN_001007-T1	FUN_004284-T1	FUN_000867-T1	FUN_004313-T1	FUN_003849-T1
OG0000948	FUN_000738-T1	FUN_000953-T1	FUN_000454-T1	FUN_001008-T1	FUN_004283-T1	FUN_000868-T1	FUN_004312-T1	FUN_003848-T1
OG0000949	FUN_000739-T1	FUN_000952-T1	FUN_000453-T1	FUN_001009-T1	FUN_004282-T1	FUN_000869-T1	FUN_004311-T1	FUN_003847-T1
OG0000950	FUN_000740-T1	FUN_000951-T1	FUN_000452-T1	FUN_001010-T1	FUN_004281-T1	FUN_000870-T1	FUN_004309-T1	FUN_003846-T1
OG0000951	FUN_000741-T1	FUN_000950-T1	FUN_000451-T1	FUN_001011-T1	FUN_004280-T1	FUN_000871-T1	FUN_005515-T1	FUN_003845-T1
OG0000952	FUN_000742-T1	FUN_000949-T1	FUN_000450-T1	FUN_001012-T1	FUN_006165-T1	FUN_000872-T1	FUN_005514-T1	FUN_003844-T1
OG0000953	FUN_000743-T1	FUN_000948-T1	FUN_000449-T1	FUN_001013-T1	FUN_006164-T1	FUN_000873-T1	FUN_005513-T1	FUN_003843-T1
OG0000954	FUN_000744-T1	FUN_000947-T1	FUN_000448-T1	FUN_001014-T1	FUN_006163-T1	FUN_000874-T1	FUN_005512-T1	FUN_003842-T1
OG0000955	FUN_000746-T1	FUN_000945-T1	FUN_000446-T1	FUN_001016-T1	FUN_006161-T1	FUN_000876-T1	FUN_005510-T1	FUN_003840-T1
OG0000956	FUN_000747-T1	FUN_000944-T1	FUN_000445-T1	FUN_001017-T1	FUN_006160-T1	FUN_000877-T1	FUN_005509-T1	FUN_003839-T1
OG0000957	FUN_000748-T1	FUN_000943-T1	FUN_000444-T1	FUN_001018-T1	FUN_006159-T1	FUN_000878-T1	FUN_005508-T1	FUN_003838-T1
OG0000958	FUN_000749-T1	FUN_000942-T1	FUN_000443-T1	FUN_001019-T1	FUN_006158-T1	FUN_000879-T1	FUN_005507-T1	FUN_003837-T1
OG0000959	FUN_000750-T1	FUN_000941-T1	FUN_000442-T1	FUN_001020-T1	FUN_006157-T1	FUN_000880-T1	FUN_005506-T1	FUN_003836-T1
OG0000960	FUN_000751-T1	FUN_000940-T1	FUN_000441-T1	FUN_001021-T1	FUN_007498-T1	FUN_007721-T1	FUN_000773-T1	FUN_003835-T1
OG0000961	FUN_000752-T1	FUN_000939-T1	FUN_000440-T1	FUN_001022-T1	FUN_007499-T1	FUN_007722-T1	FUN_000772-T1	FUN_003834-T1
OG0000962	FUN_000753-T1	FUN_000938-T1	FUN_000439-T1	FUN_001023-T1	FUN_007500-T1	FUN_007723-T1	FUN_000771-T1	FUN_003833-T1
OG0000963	FUN_000754-T1	FUN_000937-T1	FUN_000438-T1	FUN_001024-T1	FUN_007501-T1	FUN_007724-T1	FUN_000770-T1	FUN_003832-T1
OG0000964	FUN_000755-T1	FUN_000936-T1	FUN_000437-T1	FUN_001025-T1	FUN_007502-T1	FUN_007725-T1	FUN_000769-T1	FUN_003831-T1
OG0000965	FUN_000756-T1	FUN_000935-T1	FUN_000436-T1	FUN_001026-T1	FUN_007503-T1	FUN_007726-T1	FUN_000768-T1	FUN_003830-T1
OG0000966	FUN_000757-T1	FUN_000934-T1	FUN_000435-T1	FUN_001027-T1	FUN_007504-T1	FUN_007727-T1	FUN_000767-T1	FUN_003829-T1
OG0000967	FUN_000758-T1	FUN_000933-T1	FUN_000434-T1	FUN_001028-T1	FUN_009237-T1	FUN_007728-T1	FUN_000766-T1	FUN_003828-T1
OG0000968	FUN_000759-T1	FUN_000932-T1	FUN_000433-T1	FUN_001029-T1	FUN_004655-T1	FUN_007729-T1	FUN_000765-T1	FUN_003827-T1
OG0000969	FUN_000760-T1	FUN_000931-T1	FUN_000432-T1	FUN_001030-T1	FUN_004654-T1	FUN_007730-T1	FUN_000764-T1	FUN_003826-T1
OG0000970	FUN_000761-T1	FUN_000930-T1	FUN_000431-T1	FUN_001031-T1	FUN_004653-T1	FUN_007731-T1	FUN_000763-T1	FUN_003825-T1
OG0000971	FUN_000762-T1	FUN_000929-T1	FUN_000430-T1	FUN_001032-T1	FUN_004652-T1	FUN_007732-T1	FUN_000762-T1	FUN_003824-T1
OG0000972	FUN_000763-T1	FUN_000928-T1	FUN_000429-T1	FUN_001033-T1	FUN_004651-T1	FUN_007733-T1	FUN_000761-T1	FUN_003823-T1
OG0000973	FUN_000764-T1	FUN_000927-T1	FUN_000426-T1	FUN_001036-T1	FUN_004649-T1	FUN_007906-T1	FUN_000758-T1	FUN_003821-T1
OG0000974	FUN_000765-T1	FUN_000926-T1	FUN_000425-T1	FUN_001037-T1	FUN_004648-T1	FUN_007905-T1	FUN_000757-T1	FUN_003820-T1
OG0000975	FUN_000766-T1	FUN_000925-T1	FUN_000424-T1	FUN_001038-T1	FUN_004647-T1	FUN_007904-T1	FUN_000756-T1	FUN_003819-T1
OG0000976	FUN_000767-T1	FUN_000924-T1	FUN_000423-T1	FUN_001039-T1	FUN_004646-T1	FUN_007903-T1	FUN_000755-T1	FUN_003818-T1
OG0000977	FUN_000768-T1	FUN_000923-T1	FUN_000422-T1	FUN_001040-T1	FUN_004645-T1	FUN_007902-T1	FUN_000754-T1	FUN_003817-T1
OG0000978	FUN_000770-T1	FUN_000922-T1	FUN_000421-T1	FUN_001041-T1	FUN_004644-T1	FUN_007900-T1	FUN_000753-T1	FUN_003816-T1
OG0000979	FUN_000771-T1	FUN_000921-T1	FUN_000420-T1	FUN_001042-T1	FUN_004643-T1	FUN_007899-T1	FUN_000752-T1	FUN_003815-T1
OG0000980	FUN_000772-T1	FUN_000920-T1	FUN_000419-T1	FUN_001043-T1	FUN_004642-T1	FUN_007898-T1	FUN_000751-T1	FUN_003814-T1
OG0000981	FUN_000773-T1	FUN_000919-T1	FUN_000418-T1	FUN_001044-T1	FUN_004641-T1	FUN_007897-T1	FUN_000750-T1	FUN_003813-T1
OG0000982	FUN_000774-T1	FUN_000918-T1	FUN_000417-T1	FUN_001045-T1	FUN_004417-T1	FUN_009805-T1	FUN_000749-T1	FUN_003812-T1
OG0000983	FUN_000776-T1	FUN_000916-T1	FUN_000415-T1	FUN_001047-T1	FUN_004419-T1	FUN_007047-T1	FUN_000747-T1	FUN_003810-T1
OG0000984	FUN_000777-T1	FUN_000915-T1	FUN_000414-T1	FUN_001048-T1	FUN_004420-T1	FUN_007048-T1	FUN_000746-T1	FUN_003809-T1
OG0000985	FUN_000778-T1	FUN_000914-T1	FUN_000413-T1	FUN_001049-T1	FUN_004421-T1	FUN_007049-T1	FUN_000745-T1	FUN_003808-T1
OG0000986	FUN_000779-T1	FUN_000913-T1	FUN_000412-T1	FUN_001050-T1	FUN_004422-T1	FUN_007050-T1	FUN_000744-T1	FUN_003807-T1
OG0000987	FUN_000780-T1	FUN_000912-T1	FUN_000411-T1	FUN_001051-T1	FUN_004423-T1	FUN_007051-T1	FUN_000743-T1	FUN_003806-T1
OG0000988	FUN_000781-T1	FUN_000911-T1	FUN_000410-T1	FUN_001052-T1	FUN_004424-T1	FUN_007052-T1	FUN_000742-T1	FUN_003805-T1
OG0000989	FUN_000782-T1	FUN_000910-T1	FUN_000409-T1	FUN_001053-T1	FUN_004425-T1	FUN_007053-T1	FUN_000741-T1	FUN_003804-T1
OG0000990	FUN_000783-T1	FUN_000909-T1	FUN_000408-T1	FUN_001054-T1	FUN_004426-T1	FUN_007054-T1	FUN_000740-T1	FUN_003803-T1
OG0000991	FUN_000784-T1	FUN_000908-T1	FUN_000407-T1	FUN_001055-T1	FUN_004427-T1	FUN_007055-T1	FUN_000739-T1	FUN_003802-T1
OG0000992	FUN_000785-T1	FUN_000907-T1	FUN_000406-T1	FUN_001056-T1	FUN_004428-T1	FUN_007056-T1	FUN_000738-T1	FUN_003801-T1
OG0000993	FUN_000786-T1	FUN_000906-T1	FUN_000405-T1	FUN_001057-T1	FUN_004429-T1	FUN_007057-T1	FUN_000737-T1	FUN_003800-T1
OG0000994	FUN_000787-T1	FUN_000904-T1	FUN_000403-T1	FUN_001060-T1	FUN_004431-T1	FUN_007059-T1	FUN_009100-T1	FUN_003798-T1
OG0000995	FUN_000789-T1	FUN_005619-T1	FUN_000400-T1	FUN_001062-T1	FUN_007616-T1	FUN_003753-T1	FUN_009306-T1	FUN_003796-T1
OG0000996	FUN_000792-T1	FUN_005617-T1	FUN_000398-T1	FUN_001064-T1	FUN_007619-T1	FUN_003755-T1	FUN_001175-T1	FUN_003794-T1
OG0000997	FUN_000793-T1	FUN_005616-T1	FUN_000397-T1	FUN_001065-T1	FUN_007620-T1	FUN_003756-T1	FUN_001174-T1	FUN_003793-T1
OG0000998	FUN_000794-T1	FUN_005615-T1	FUN_000396-T1	FUN_001066-T1	FUN_009131-T1	FUN_003757-T1	FUN_001173-T1	FUN_003792-T1
OG0000999	FUN_000795-T1	FUN_005614-T1	FUN_000395-T1	FUN_001067-T1	FUN_009129-T1	FUN_003758-T1	FUN_001172-T1	FUN_003791-T1
OG0001000	FUN_000796-T1	FUN_005613-T1	FUN_000394-T1	FUN_001068-T1	FUN_006149-T1	FUN_003759-T1	FUN_001171-T1	FUN_003790-T1
OG0001001	FUN_000797-T1	FUN_005612-T1	FUN_000393-T1	FUN_001069-T1	FUN_006150-T1	FUN_003760-T1	FUN_001170-T1	FUN_003789-T1
OG0001002	FUN_000798-T1	FUN_005609-T1	FUN_000390-T1	FUN_001072-T1	FUN_006153-T1	FUN_009207-T1	FUN_001167-T1	FUN_003786-T1
OG0001003	FUN_000799-T1	FUN_005608-T1	FUN_000389-T1	FUN_001073-T1	FUN_006154-T1	FUN_009208-T1	FUN_001166-T1	FUN_003785-T1
OG0001004	FUN_000800-T1	FUN_005607-T1	FUN_000388-T1	FUN_001074-T1	FUN_006155-T1	FUN_009209-T1	FUN_001165-T1	FUN_003784-T1
OG0001005	FUN_000801-T1	FUN_005606-T1	FUN_000387-T1	FUN_001075-T1	FUN_006156-T1	FUN_009210-T1	FUN_001164-T1	FUN_003783-T1
OG0001006	FUN_000802-T1	FUN_005605-T1	FUN_000386-T1	FUN_001076-T1	FUN_005190-T1	FUN_001724-T1	FUN_001163-T1	FUN_003782-T1
OG0001007	FUN_000804-T1	FUN_005604-T1	FUN_000385-T1	FUN_001077-T1	FUN_005189-T1	FUN_001726-T1	FUN_001161-T1	FUN_003781-T1
OG0001008	FUN_000805-T1	FUN_005603-T1	FUN_000384-T1	FUN_001078-T1	FUN_005188-T1	FUN_001727-T1	FUN_001160-T1	FUN_003780-T1
OG0001009	FUN_000807-T1	FUN_005602-T1	FUN_000382-T1	FUN_001080-T1	FUN_005187-T1	FUN_001729-T1	FUN_001159-T1	FUN_003779-T1
OG0001010	FUN_000808-T1	FUN_005601-T1	FUN_000381-T1	FUN_001081-T1	FUN_005186-T1	FUN_001730-T1	FUN_001158-T1	FUN_003778-T1
OG0001011	FUN_000809-T1	FUN_005600-T1	FUN_000380-T1	FUN_001082-T1	FUN_005185-T1	FUN_001731-T1	FUN_001157-T1	FUN_003777-T1
OG0001012	FUN_000810-T1	FUN_005599-T1	FUN_000379-T1	FUN_001083-T1	FUN_005184-T1	FUN_001732-T1	FUN_001156-T1	FUN_003776-T1
OG0001013	FUN_000812-T1	FUN_005597-T1	FUN_000377-T1	FUN_001084-T1	FUN_005182-T1	FUN_001734-T1	FUN_001154-T1	FUN_003774-T1
OG0001014	FUN_000813-T1	FUN_005596-T1	FUN_000376-T1	FUN_001085-T1	FUN_005181-T1	FUN_001735-T1	FUN_001153-T1	FUN_003773-T1
OG0001015	FUN_000815-T1	FUN_007629-T1	FUN_000374-T1	FUN_001087-T1	FUN_005199-T1	FUN_001737-T1	FUN_001826-T1	FUN_003771-T1
OG0001016	FUN_000817-T1	FUN_007627-T1	FUN_000372-T1	FUN_001089-T1	FUN_005201-T1	FUN_001739-T1	FUN_001828-T1	FUN_003769-T1
OG0001017	FUN_000818-T1	FUN_007626-T1	FUN_000371-T1	FUN_001090-T1	FUN_005202-T1	FUN_001740-T1	FUN_001829-T1	FUN_003768-T1
OG0001018	FUN_000819-T1	FUN_007625-T1	FUN_000370-T1	FUN_001091-T1	FUN_005203-T1	FUN_001741-T1	FUN_001830-T1	FUN_003767-T1
OG0001019	FUN_000820-T1	FUN_007624-T1	FUN_000369-T1	FUN_001092-T1	FUN_005204-T1	FUN_001742-T1	FUN_001831-T1	FUN_003766-T1
OG0001020	FUN_000821-T1	FUN_007623-T1	FUN_000368-T1	FUN_001093-T1	FUN_005205-T1	FUN_001743-T1	FUN_001832-T1	FUN_003765-T1
OG0001021	FUN_000822-T1	FUN_007622-T1	FUN_000367-T1	FUN_001094-T1	FUN_005206-T1	FUN_001744-T1	FUN_001833-T1	FUN_003764-T1
OG0001022	FUN_000823-T1	FUN_007621-T1	FUN_000366-T1	FUN_001095-T1	FUN_005207-T1	FUN_001745-T1	FUN_001834-T1	FUN_003763-T1
OG0001023	FUN_000824-T1	FUN_007620-T1	FUN_000365-T1	FUN_001096-T1	FUN_005208-T1	FUN_001747-T1	FUN_001835-T1	FUN_003762-T1
OG0001024	FUN_000825-T1	FUN_007619-T1	FUN_000364-T1	FUN_001097-T1	FUN_005209-T1	FUN_001748-T1	FUN_001836-T1	FUN_003761-T1
OG0001025	FUN_000826-T1	FUN_007618-T1	FUN_000363-T1	FUN_001098-T1	FUN_009422-T1	FUN_001749-T1	FUN_001837-T1	FUN_003760-T1
OG0001026	FUN_000827-T1	FUN_007617-T1	FUN_000362-T1	FUN_001099-T1	FUN_002516-T1	FUN_001750-T1	FUN_001838-T1	FUN_003759-T1
OG0001027	FUN_000828-T1	FUN_007616-T1	FUN_000361-T1	FUN_001100-T1	FUN_002517-T1	FUN_001751-T1	FUN_001839-T1	FUN_003758-T1
OG0001028	FUN_000829-T1	FUN_003365-T1	FUN_000360-T1	FUN_001101-T1	FUN_002518-T1	FUN_001752-T1	FUN_001840-T1	FUN_003757-T1
OG0001029	FUN_000831-T1	FUN_003367-T1	FUN_000358-T1	FUN_001102-T1	FUN_002520-T1	FUN_001754-T1	FUN_001842-T1	FUN_003755-T1
OG0001030	FUN_000833-T1	FUN_003369-T1	FUN_000356-T1	FUN_001104-T1	FUN_002521-T1	FUN_001756-T1	FUN_001844-T1	FUN_003753-T1
OG0001031	FUN_000834-T1	FUN_003370-T1	FUN_000355-T1	FUN_001105-T1	FUN_002522-T1	FUN_001757-T1	FUN_001845-T1	FUN_003752-T1
OG0001032	FUN_000835-T1	FUN_003371-T1	FUN_000354-T1	FUN_001106-T1	FUN_002523-T1	FUN_001758-T1	FUN_001846-T1	FUN_003751-T1
OG0001033	FUN_000836-T1	FUN_003372-T1	FUN_000353-T1	FUN_001107-T1	FUN_002524-T1	FUN_001759-T1	FUN_001847-T1	FUN_003750-T1
OG0001034	FUN_000837-T1	FUN_003373-T1	FUN_000352-T1	FUN_001108-T1	FUN_002525-T1	FUN_001760-T1	FUN_001848-T1	FUN_003749-T1
